,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Cape Town,ZA,-33.9258,18.4232,66.61,70,40,4.0,scattered clouds
79,Rawson,AR,-43.3002,-65.1023,42.89,64,0,21.05,clear sky
80,Longyearbyen,SJ,78.2186,15.6401,35.44,75,75,8.05,broken clouds
81,Tutoia,BR,-2.7619,-42.2744,87.78,58,66,2.57,broken clouds
82,Waterloo,CA,43.4668,-80.5164,51.73,50,1,15.32,clear sky
83,Bamban,PH,15.6747,120.3315,88.65,88,94,5.01,overcast clouds
84,Verkhnyaya Inta,RU,65.9811,60.3094,43.57,65,99,13.51,overcast clouds
85,Bandarbeyla,SO,9.4942,50.8122,82.67,72,3,28.23,clear sky
86,Zaraza,VE,9.3503,-65.3245,86.56,46,3,7.16,clear sky
87,Bani,DO,18.2833,-70.3333,83.75,62,6,8.97,clear sky
88,Dikson,RU,73.5069,80.5464,28.58,85,79,5.12,broken clouds
89,Axim,GH,4.8699,-2.2405,85.05,72,92,10.6,light rain
90,Idrinskoye,RU,54.3708,92.1358,42.33,64,70,3.8,broken clouds
91,Hasaki,JP,35.7333,140.8333,68.29,85,51,3.89,broken clouds
92,Willmar,US,45.1219,-95.0433,50.29,80,1,4.61,clear sky
93,Beira,MZ,-19.8436,34.8389,84.29,65,0,7.74,clear sky
94,Cabo San Lucas,MX,22.8909,-109.9124,82.81,58,100,8.12,overcast clouds
95,Paamiut,GL,61.994,-49.6678,35.28,94,100,10.31,overcast clouds
96,Pisco,PE,-13.7,-76.2167,66.25,82,90,3.44,overcast clouds
97,Codrington,AU,-38.2667,141.9667,41.65,92,2,6.96,clear sky
98,Talcahuano,CL,-36.7167,-73.1167,46.08,100,0,5.75,clear sky
99,Laiyang,CN,36.9758,120.7136,59.65,83,0,9.13,light rain
100,Melo,UY,-32.3667,-54.1833,56.86,69,96,12.82,overcast clouds
101,Caborca,MX,30.5838,-111.101,75.52,16,1,4.29,clear sky
102,Sept-Iles,CA,50.2001,-66.3821,51.26,56,20,5.99,few clouds
103,Vardo,NO,70.3705,31.1107,43.0,72,78,18.01,broken clouds
104,Saint George,US,37.1041,-113.5841,77.34,13,1,0.0,clear sky
105,Bredasdorp,ZA,-34.5322,20.0403,65.52,68,15,16.78,light rain
106,Khatanga,RU,71.9667,102.5,39.58,79,98,11.83,overcast clouds
107,Lobito,AO,-12.3481,13.5456,83.64,54,5,8.3,clear sky
108,Bengkulu,ID,-3.8004,102.2655,75.79,90,100,5.84,overcast clouds
109,Ust-Maya,RU,60.4167,134.5333,51.58,73,100,4.9,light rain
110,Georgetown,MY,5.4112,100.3354,87.89,78,20,4.61,few clouds
111,Chaplynka,UA,46.3651,33.5403,75.79,61,98,12.12,overcast clouds
112,Airai,TL,-8.9266,125.4092,58.77,93,83,3.02,broken clouds
113,Kaeo,NZ,-35.1,173.7833,48.33,95,41,8.08,scattered clouds
114,Mosquera,CO,4.7059,-74.2302,55.49,100,75,3.44,broken clouds
115,Port Hardy,CA,50.6996,-127.4199,44.6,100,40,2.3,scattered clouds
116,Oskemen,KZ,49.9565,82.6119,71.56,26,8,7.94,clear sky
117,Proletariy,RU,58.4342,31.7046,58.75,40,22,12.86,few clouds
118,Santa Vitoria,BR,-18.8386,-50.1214,85.69,38,78,5.97,broken clouds
119,Seoul,KR,37.5683,126.9778,58.51,91,0,2.26,clear sky
120,Thayetmyo,MM,19.3167,95.1833,85.42,63,100,8.93,light rain
121,Namibe,AO,-15.1961,12.1522,83.03,57,0,17.27,clear sky
122,Yerbogachen,RU,61.2767,108.0108,43.83,69,96,9.62,overcast clouds
123,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,90,6.91,overcast clouds
124,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,17.49,light rain
125,Methoni,GR,36.8197,21.7049,75.22,61,34,6.08,scattered clouds
126,Raudeberg,NO,61.9875,5.1352,57.87,88,55,5.39,broken clouds
127,Puerto Ayora,EC,-0.7393,-90.3518,74.55,89,50,5.99,scattered clouds
128,Sarakhs,IR,36.5449,61.1577,107.74,9,0,4.61,clear sky
129,Buraydah,SA,26.326,43.975,108.05,7,10,13.73,clear sky
130,Suba,PH,10.8438,121.0102,84.2,75,99,4.81,overcast clouds
131,Vaini,TO,-21.2,-175.2,69.96,94,75,2.3,light rain
132,Ascension,US,30.2169,-90.9001,75.99,93,1,4.61,clear sky
133,Albury,AU,-36.0833,146.9167,39.02,92,0,0.0,clear sky
134,Cartagena Del Chaira,CO,1.3349,-74.8429,74.3,96,100,1.1,overcast clouds
135,Huambo,AO,-12.7761,15.7392,75.34,21,16,5.55,few clouds
136,Carbonia,IT,39.1672,8.5222,81.55,37,5,12.46,clear sky
137,Otane,NZ,-39.8833,176.6333,54.01,98,100,2.48,overcast clouds
138,Vila Velha,BR,-20.3297,-40.2925,82.96,63,40,15.99,scattered clouds
139,Leua,SK,48.2156,18.6071,66.49,55,91,13.73,overcast clouds
140,Brae,GB,60.3964,-1.353,48.11,65,8,5.88,clear sky
141,Sarkand,KZ,45.41,79.9186,67.21,60,62,4.38,broken clouds
142,Zhigansk,RU,66.7697,123.3711,52.16,54,5,15.88,clear sky
143,Havelock,US,34.8791,-76.9013,82.35,84,40,8.99,scattered clouds
144,Bodden Town,KY,19.2833,-81.25,85.93,56,20,1.99,few clouds
145,Ribeira Grande,PT,38.5167,-28.7,66.6,82,40,4.61,scattered clouds
146,Yar-Sale,RU,66.8333,70.8333,49.91,69,100,12.71,light rain
147,Souillac,MU,-20.5167,57.5167,77.36,87,40,6.6,light rain
148,Isla Mujeres,MX,21.2311,-86.731,77.16,79,4,3.06,clear sky
149,Masuda,JP,34.6667,131.85,67.73,61,28,4.59,scattered clouds
150,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,54,20,10.36,few clouds
151,New Norfolk,AU,-42.7826,147.0587,45.9,72,50,3.06,scattered clouds
152,Malpe,IN,13.35,74.7167,83.5,82,68,6.76,broken clouds
153,Abu Dhabi,AE,24.4667,54.3667,100.42,30,0,16.35,clear sky
154,Port Lincoln,AU,-34.7333,135.8667,56.71,63,0,13.65,clear sky
155,Kieta,PG,-6.2167,155.6333,76.12,96,100,2.28,heavy intensity rain
156,Ponta Do Sol,PT,32.6667,-17.1,73.13,58,42,5.08,scattered clouds
157,Asmara,ER,15.3333,38.9333,76.03,21,7,18.21,clear sky
158,Inhambane,MZ,-23.865,35.3833,76.98,57,0,13.8,clear sky
159,Sankt Georgen,HU,47.1425,16.5815,62.15,58,100,3.83,overcast clouds
160,Poya,NC,-21.35,165.15,67.42,72,81,8.59,broken clouds
161,Honiara,SB,-9.4333,159.95,75.96,95,100,2.62,light rain
162,Arman,RU,59.7,150.1667,36.55,99,100,4.7,light rain
163,San Cristobal,VE,7.7669,-72.225,68.18,64,38,3.67,scattered clouds
164,Avarua,CK,-21.2078,-159.775,73.45,78,75,4.61,broken clouds
165,Bubaque,GW,11.2833,-15.8333,79.11,64,14,9.28,few clouds
166,Chicama,PE,-7.8447,-79.1469,63.14,82,80,4.85,broken clouds
167,Hami,CN,42.8,93.45,87.13,10,72,7.38,broken clouds
168,Mahajanga,MG,-15.7167,46.3167,86.02,58,20,9.22,few clouds
169,Pozega,HR,45.3403,17.6853,71.22,60,82,7.61,broken clouds
170,Itarema,BR,-2.9248,-39.9167,86.04,60,39,11.86,scattered clouds
171,Cayenne,GF,4.9333,-52.3333,85.08,79,75,1.01,broken clouds
172,Sur,OM,22.5667,59.5289,97.27,35,31,9.08,scattered clouds
173,Cidreira,BR,-30.1811,-50.2056,64.22,76,23,14.97,few clouds
174,Cao Bang,VN,22.6667,106.25,80.47,89,100,3.6,overcast clouds
175,Kang,BW,-23.6752,22.7876,75.45,18,8,5.95,clear sky
176,Guerrero Negro,MX,27.9769,-114.0611,61.09,76,100,14.94,overcast clouds
177,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,81,75,13.8,broken clouds
178,Burnie,AU,-41.0667,145.9167,38.95,83,20,3.94,few clouds
179,Poum,NC,-20.2333,164.0167,72.52,63,87,21.59,overcast clouds
180,Terrace Bay,CA,48.7834,-87.1,54.1,57,5,3.96,clear sky
181,Kedgwick,CA,47.6446,-67.3434,48.83,35,0,4.74,clear sky
182,Baykit,RU,61.67,96.37,36.68,98,100,7.76,light rain
183,Lorengau,PG,-2.0226,147.2712,82.87,76,98,11.56,overcast clouds
184,Grand Gaube,MU,-20.0064,57.6608,77.38,75,18,4.0,few clouds
185,Kolpashevo,RU,58.3131,82.9089,48.7,50,1,2.71,clear sky
186,Meulaboh,ID,4.1363,96.1285,79.9,81,77,3.65,broken clouds
187,Chichester,GB,50.8367,-0.78,71.24,72,37,9.13,scattered clouds
188,Yulara,AU,-25.2406,130.9889,55.24,50,86,10.36,overcast clouds
189,Zyryanskoye,RU,56.8306,86.6258,45.55,56,15,4.52,few clouds
190,Darhan,MN,49.4867,105.9228,48.02,70,19,5.97,few clouds
191,Tiksi,RU,71.6872,128.8694,30.74,97,94,7.23,overcast clouds
192,Turbat,PK,26.0023,63.044,102.78,25,5,20.27,clear sky
193,Jinzhou,CN,41.1078,121.1417,61.32,58,17,6.26,light rain
194,Bose,IT,45.4612,8.0137,75.61,55,96,3.67,overcast clouds
195,Shatalovo,RU,54.334,32.4465,57.47,77,100,11.88,overcast clouds
196,Viedma,AR,-40.8135,-62.9967,46.87,51,5,12.75,clear sky
197,Tabou,CI,4.423,-7.3528,84.92,70,100,9.55,overcast clouds
198,Teacapan,MX,22.55,-105.75,76.59,71,100,3.31,overcast clouds
199,Moose Factory,CA,51.2585,-80.6094,46.4,36,1,8.05,clear sky
200,Ilulissat,GL,69.2167,-51.1,48.22,43,75,4.61,broken clouds
201,San Quintin,MX,30.4833,-115.95,59.4,82,96,12.21,overcast clouds
202,Atar,MR,20.5169,-13.0499,108.12,9,100,15.59,overcast clouds
203,Esperance,AU,-33.8667,121.9,60.64,86,100,19.19,moderate rain
204,Mongu,ZM,-15.2484,23.1274,82.6,13,0,4.59,clear sky
205,Iqaluit,CA,63.7506,-68.5145,28.13,74,75,26.46,broken clouds
206,Chokurdakh,RU,70.6333,147.9167,45.14,62,11,10.42,few clouds
207,Tamiahua,MX,21.2667,-97.45,83.26,72,16,3.62,few clouds
208,Kodiak,US,57.79,-152.4072,45.91,87,90,8.05,light rain
209,Husavik,IS,66.0449,-17.3389,58.91,52,24,21.65,few clouds
