,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bethel,US,41.3712,-73.414,49.19,85,100,3.0,overcast clouds
80,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,80,90,10.36,overcast clouds
81,Nishihara,JP,26.1842,127.7558,69.46,94,75,17.98,broken clouds
82,Hermanus,ZA,-34.4187,19.2345,56.89,82,56,5.91,broken clouds
83,Faanui,PF,-16.4833,-151.75,79.95,68,21,7.25,few clouds
84,Hammerfest,NO,70.6634,23.6821,41.45,87,90,26.46,overcast clouds
85,Havoysund,NO,70.9963,24.6622,41.88,89,100,26.24,overcast clouds
86,Codrington,AU,-38.2667,141.9667,39.65,95,7,7.0,clear sky
87,Port Alfred,ZA,-33.5906,26.891,59.56,76,96,14.25,light rain
88,Pierre,US,44.3683,-100.351,63.52,67,90,6.91,overcast clouds
89,Niamey,NE,13.5137,2.1098,97.09,26,4,3.44,clear sky
90,Kentau,KZ,43.5206,68.5094,77.09,27,82,6.44,broken clouds
91,Vrangel,RU,42.7297,133.0839,50.86,86,85,0.89,overcast clouds
92,Atuona,PF,-9.8,-139.0333,78.94,72,13,9.17,few clouds
93,Yar-Sale,RU,66.8333,70.8333,42.85,73,60,8.68,broken clouds
94,Battle Creek,US,42.3212,-85.1797,64.78,29,1,10.36,clear sky
95,Cape Town,ZA,-33.9258,18.4232,57.11,90,20,1.57,few clouds
96,Faya,SA,18.3851,42.4509,69.91,38,100,0.83,overcast clouds
97,Menongue,AO,-14.6585,17.691,51.94,41,23,3.31,few clouds
98,Erzin,TR,36.9559,36.2,70.52,88,30,0.94,scattered clouds
99,Conde,BR,-7.2597,-34.9075,78.26,78,0,8.75,clear sky
100,Birjand,IR,32.8663,59.2211,70.27,18,0,4.61,clear sky
101,Bowen,AU,-20.0167,148.2333,64.62,81,66,12.8,broken clouds
102,Sitka,US,57.0531,-135.33,55.29,54,40,18.41,scattered clouds
103,Avarua,CK,-21.2078,-159.775,77.05,61,20,6.91,few clouds
104,Alofi,NU,-19.0595,-169.9187,80.49,89,45,5.75,moderate rain
105,Copala,MX,16.65,-98.9833,87.35,58,69,8.25,broken clouds
106,Airai,TL,-8.9266,125.4092,54.93,89,46,1.97,scattered clouds
107,Laguna,US,38.421,-121.4238,89.2,40,1,4.0,clear sky
108,Swan Hill,AU,-35.3378,143.5544,38.86,88,0,4.72,clear sky
109,Storforshei,NO,66.4043,14.5233,45.66,93,82,1.1,broken clouds
110,Ahipara,NZ,-35.1667,173.1667,56.64,76,91,11.3,overcast clouds
111,Bredasdorp,ZA,-34.5322,20.0403,54.72,88,36,2.66,scattered clouds
112,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,85,31,11.74,scattered clouds
113,Holice,CZ,50.066,15.9859,51.26,84,0,6.96,clear sky
114,Lensk,RU,60.7253,114.9278,48.25,90,100,9.66,overcast clouds
115,Castro,BR,-24.7911,-50.0119,67.55,69,57,4.92,broken clouds
116,Kuusamo,FI,65.9667,29.1833,30.24,86,0,3.44,clear sky
117,Mafeteng,LS,-29.823,27.2374,39.51,56,76,2.24,broken clouds
118,Gewane,ET,10.1664,40.6453,84.43,35,8,8.39,clear sky
119,Princeville,CA,45.7668,-61.2985,48.13,86,90,4.0,moderate rain
120,Ipixuna,BR,-1.7625,-48.8043,84.15,82,99,2.93,overcast clouds
121,Boden,SE,65.8252,21.6886,44.6,69,82,1.99,broken clouds
122,Jamestown,US,42.097,-79.2353,53.19,86,90,7.0,overcast clouds
123,Qaanaaq,GL,77.484,-69.3632,30.4,94,57,6.55,broken clouds
124,Tilichiki,RU,60.4667,166.1,41.65,75,100,5.84,overcast clouds
125,Dobre Miasto,PL,53.9867,20.3975,47.08,93,71,5.5,broken clouds
126,Tateyama,JP,34.9833,139.8667,70.14,77,100,8.3,overcast clouds
127,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,9.22,scattered clouds
128,East London,ZA,-33.0153,27.9116,59.74,81,57,16.24,moderate rain
129,Oktyabrskiy,RU,54.4815,53.471,59.11,84,55,4.74,light rain
130,San Patricio,US,28.017,-97.5169,83.84,68,56,8.97,broken clouds
131,Springbok,ZA,-29.6643,17.8865,49.53,66,100,5.61,overcast clouds
132,Ilulissat,GL,69.2167,-51.1,59.02,20,39,16.11,scattered clouds
133,Ribeira Grande,PT,38.5167,-28.7,64.22,80,44,6.85,scattered clouds
134,Ondangwa,NA,-17.9167,15.95,59.0,58,0,0.0,clear sky
135,Tromso,NO,69.6496,18.957,43.45,81,75,3.0,broken clouds
136,Mendoza,AR,-32.8908,-68.8272,56.73,44,0,0.0,clear sky
137,Georgetown,MY,5.4112,100.3354,81.9,87,20,5.01,few clouds
138,Chokurdakh,RU,70.6333,147.9167,56.26,37,6,13.42,clear sky
139,Nador,MA,35.174,-2.9287,66.45,88,40,4.5,scattered clouds
140,Mananjary,MG,-21.2167,48.3333,68.74,92,19,6.53,few clouds
141,Srednekolymsk,RU,67.45,153.6833,56.43,36,14,13.91,few clouds
142,Nome,US,64.5011,-165.4064,53.67,26,1,16.11,clear sky
143,Ostrovnoy,RU,68.0531,39.5131,35.02,80,100,14.67,overcast clouds
144,Baker City,US,44.7749,-117.8344,70.16,23,1,4.61,clear sky
145,Eenhana,NA,-17.4667,16.3333,58.75,30,0,6.38,clear sky
146,Mazatlan,MX,23.2167,-106.4167,87.76,71,40,8.01,scattered clouds
147,Olavarria,AR,-36.8927,-60.3225,41.31,73,9,7.52,clear sky
148,Samarai,PG,-10.6167,150.6667,78.53,78,96,13.65,overcast clouds
149,Herat,AF,34.5,62.0,77.25,20,0,12.24,clear sky
150,Arang,IN,21.2,81.9667,89.91,32,86,6.17,overcast clouds
151,Saskylakh,RU,71.9167,114.0833,33.53,90,81,8.61,broken clouds
152,Biltine,TD,14.5333,20.9167,89.49,10,0,8.48,clear sky
153,Saint-Nazaire,FR,47.2833,-2.2,64.38,74,0,9.22,clear sky
154,Mogadishu,SO,2.0371,45.3438,78.33,84,86,14.03,overcast clouds
155,Deputatskiy,RU,69.3,139.9,47.95,47,27,19.64,scattered clouds
156,Jonesboro,US,35.8423,-90.7043,60.57,63,90,10.0,overcast clouds
157,General Roca,AR,-39.0333,-67.5833,52.2,47,53,15.46,broken clouds
158,Komsomolskiy,UZ,40.4272,71.7189,77.72,27,64,4.61,broken clouds
159,Kolondieba,ML,11.0882,-6.8926,89.44,37,76,3.65,broken clouds
160,Sinnamary,GF,5.3833,-52.95,78.4,87,80,10.16,broken clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,102.51,23,20,11.5,few clouds
162,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,91.11,11,42,20.11,scattered clouds
163,Ystad,SE,55.4297,13.8204,48.97,70,8,0.45,clear sky
164,Sabang,ID,5.8933,95.3214,80.42,83,99,23.35,heavy intensity rain
165,Vostok,RU,46.4856,135.8833,44.44,86,100,2.21,moderate rain
166,Tessalit,ML,20.1986,1.0114,95.54,7,100,8.28,overcast clouds
167,Yendi,GH,9.4427,-0.0099,85.44,52,6,6.85,clear sky
168,La Palma,US,33.8464,-118.0467,86.32,63,40,4.0,scattered clouds
169,Catemaco,MX,18.4167,-95.1167,87.78,54,86,7.14,overcast clouds
170,Honningsvag,NO,70.9821,25.9704,40.75,88,100,24.9,overcast clouds
171,Makakilo City,US,21.3469,-158.0858,82.15,57,1,12.66,clear sky
172,Nizwa,OM,22.9333,57.5333,85.33,35,74,3.09,broken clouds
173,Cetraro,IT,39.5166,15.9416,61.25,83,36,1.66,scattered clouds
174,Moranbah,AU,-22.0016,148.0466,57.88,82,66,15.97,broken clouds
175,Lucea,JM,18.451,-78.1736,77.86,71,15,0.09,few clouds
176,Kavieng,PG,-2.5744,150.7967,82.74,80,89,16.69,light rain
177,Caravelas,BR,-17.7125,-39.2481,75.36,85,65,6.67,broken clouds
178,Barrow,US,71.2906,-156.7887,28.42,86,90,11.5,overcast clouds
179,Hithadhoo,MV,-0.6,73.0833,83.48,72,34,18.7,scattered clouds
180,Svetlaya,RU,46.5389,138.3297,43.45,95,100,19.39,light rain
181,Camopi,GF,3.1655,-52.3158,73.87,98,93,3.33,moderate rain
182,Kropotkin,RU,45.4375,40.5756,60.17,92,100,10.13,heavy intensity rain
183,Sambava,MG,-14.2667,50.1667,72.28,87,20,7.58,few clouds
184,Birao,CF,10.2849,22.7882,87.91,25,47,4.36,scattered clouds
185,Salalah,OM,17.0151,54.0924,84.29,89,75,8.05,broken clouds
186,Lerwick,GB,60.1545,-1.1494,42.8,89,9,2.1,clear sky
187,Najran,SA,17.4924,44.1277,79.45,18,18,4.05,few clouds
188,Yellowknife,CA,62.456,-114.3525,54.32,35,75,3.0,broken clouds
189,Baruun-Urt,MN,46.6806,113.2792,46.83,75,48,7.58,scattered clouds
190,Victoria,HK,22.2855,114.1577,85.96,91,96,11.99,overcast clouds
191,Saldanha,ZA,-33.0117,17.9442,51.85,84,9,6.73,clear sky
192,Sisimiut,GL,66.9395,-53.6735,46.58,46,41,13.09,scattered clouds
193,Luderitz,NA,-26.6481,15.1594,60.01,66,32,14.43,scattered clouds
194,Iqaluit,CA,63.7506,-68.5145,29.93,74,90,17.27,overcast clouds
195,Florennes,BE,50.2513,4.6064,54.82,71,20,5.75,few clouds
196,Isangel,VU,-19.55,169.2667,71.71,78,20,2.46,few clouds
197,Bengkulu,ID,-3.8004,102.2655,75.33,86,96,4.05,overcast clouds
198,Kununurra,AU,-15.7667,128.7333,55.38,76,100,0.0,overcast clouds
199,Bell Ville,AR,-32.6259,-62.6887,51.67,48,0,1.92,clear sky
200,Kaitangata,NZ,-46.2817,169.8464,49.55,94,100,10.58,moderate rain
201,Rock Sound,BS,24.9,-76.2,78.24,75,3,10.58,clear sky
202,Rocha,UY,-34.4833,-54.3333,45.99,64,6,11.01,clear sky
203,Takoradi,GH,4.8845,-1.7554,80.76,84,86,7.85,overcast clouds
204,Pevek,RU,69.7008,170.3133,42.31,55,0,11.14,clear sky
205,Mecca,SA,21.4267,39.8261,89.13,43,33,4.23,scattered clouds
206,Kawalu,ID,-7.3817,108.2082,70.52,96,89,1.14,overcast clouds
207,Paamiut,GL,61.994,-49.6678,33.82,100,100,8.63,moderate rain
208,Akhaldaba,GE,41.654,42.1516,55.96,95,87,1.48,overcast clouds
209,Saryg-Sep,RU,51.5,95.6,34.88,89,43,2.06,light rain
210,Stephenville,US,32.2207,-98.2023,82.94,62,40,6.91,scattered clouds
